,com_1,com_2,icd10,cluster
165,4.5989575,-3.2278636,A493,324
166,3.4131305,6.7040653,A498,471
167,-3.9911563,1.7629921,A499,-1
168,-10.506571,-1.183205,A500,199
169,-11.605462,2.787126,A501,120
170,-8.190307,-4.9374895,A502,207
171,12.3939495,3.3257508,A504,220
172,6.517517,11.668696,A505,-1
173,4.9894233,-6.2261095,A506,293
174,5.647316,-5.9072733,A509,219
175,-1.2831914,7.3208504,A510,-1
176,-8.118843,-4.6940904,A512,207
177,-1.5095891,8.345036,A513,541
178,-0.86585486,8.0395,A514,540
179,0.20474476,6.240534,A515,650
180,-1.1924685,8.629447,A519,541
181,2.1629918,2.6723804,A521,-1
182,0.93239594,10.998154,A522,-1
183,-3.005814,10.627382,A523,-1
184,-1.5481118,3.0314362,A527,-1
185,-0.433292,0.20692137,A528,-1
186,-1.9483516,6.9049973,A529,553
187,-1.3900548,8.086212,A530,541
188,-1.8193911,4.7750244,A539,668
189,-1.5513061,-2.21905,A540,501
190,-1.6054673,5.8794665,A541,593
191,5.803405,-10.314952,A542,-1
192,7.3332725,9.811206,A543,-1
193,4.276762,9.857786,A544,326
194,3.2628505,11.848368,A545,-1
195,2.3751135,-3.055303,A548,582
196,-1.0017138,-2.2254856,A549,602
197,4.576183,3.3445349,A55,554
198,2.9909394,11.533071,A56,-1
199,2.33436,9.270707,A564,430
200,11.36444,7.6497517,A568,179
201,0.026091972,-2.0925164,A57,-1
202,5.063943,1.7996575,A590,414
203,2.9405951,16.162357,A598,-1
204,2.0592713,1.6380306,A599,686
205,-7.8795886,7.394197,A60,-1
206,-1.0908152,2.6747808,A600,707
207,1.2613188,-2.3434796,A601,-1
208,-1.2684549,-0.378584,A609,639
209,-3.2322917,15.710215,A63,53
210,-3.7040632,10.662529,A630,280
211,-6.404206,-3.745702,A638,-1
212,3.2036157,-1.6570407,A64,517
213,3.2145247,8.091905,A660,476
214,6.9261656,-8.399765,A661,104
215,9.478507,-2.7330568,A663,224
216,7.4093313,6.343606,A666,440
217,9.996039,4.287458,A670,229
218,-7.909819,4.913165,A680,288
219,-11.027187,-1.1236206,A689,-1
220,4.746909,12.246917,A690,204
221,8.237236,8.111755,A692,-1
222,-5.2645893,-3.1764114,A698,412
223,-4.1010747,-11.285773,A719,-1
224,6.849751,6.776367,A740,415
225,-8.891999,13.626409,A749,101
226,-8.778681,15.11048,A750,38
227,-2.844933,-3.7612727,A752,533
228,-9.603302,4.4529495,A753,257
229,4.71347,3.3202586,A759,554
230,13.756402,3.6882203,A778,135
231,7.9792905,-2.2433608,A78,272
232,1.1440718,11.127006,A791,386
233,0.5599905,-2.5645757,A799,573
234,4.9915013,9.508616,A80,327
235,-1.0160521,-10.728768,A800,25
236,0.97391593,11.572826,A803,369
237,2.3712876,4.5462127,A809,692
238,-3.4707937,5.9129734,A810,579
239,-3.772562,10.708415,A812,280
240,-8.878979,-8.810848,A829,80
241,-3.112895,7.830434,A830,548
242,10.221241,-1.7169015,A831,268
243,-3.9123306,15.444965,A849,52
244,1.4907956,5.5219426,A850,669
245,1.2106403,-12.748795,A852,36
246,-5.5783663,-3.4635215,A858,410
247,-6.1681886,-8.76503,A86,119
248,-7.3806896,-2.4733686,A878,276
249,0.9387659,-1.9817469,A879,-1
250,7.2776036,-1.9507481,A880,267
251,-2.064008,10.56477,A881,-1
252,0.14128284,6.7442646,A89,650
253,2.325692,0.5924224,A90,-1
254,-11.202113,12.609041,A91,74
255,13.763304,5.7871656,A910,33
256,3.2982864,3.3698366,A911,-1
257,-2.7194443,1.2900772,A919,-1
258,7.327615,7.045827,A920,-1
259,-7.748236,-1.4144762,A95,301
260,-0.43536836,-0.35187745,A970,-1
261,-3.8450127,5.1426816,A971,-1
262,-0.5903857,-1.2693567,A979,-1
263,15.862629,0.92279214,A982,15
264,6.232418,-2.7552073,A99,-1
265,1.9700807,14.398917,B00,-1
266,-0.017846897,3.4515033,B000,700
267,4.325313,2.271216,B001,599
268,1.5522746,1.4171047,B002,719
269,-4.6420455,-4.1630673,B003,-1
270,0.29240584,1.4535356,B004,-1
271,3.6291134,6.8371596,B005,-1
272,1.1130778,0.442814,B007,-1
273,0.1032529,3.753166,B008,678
274,4.572896,5.00057,B009,547
275,-4.4693995,9.000032,B01,398
276,-4.407493,4.8851213,B010,542
277,-3.3478963,-11.044022,B012,-1
278,0.9540363,1.5395263,B018,-1
279,-0.27902386,2.3493373,B019,-1
280,4.6797667,4.8287406,B02,547
281,5.074574,13.279965,B020,-1
282,3.7635672,2.669413,B022,-1
283,3.1971436,4.3175206,B023,622
284,-3.1906114,11.758052,B027,-1
285,-0.308087,-0.56198686,B028,655
286,-1.2487718,2.8515277,B029,707
287,6.63294,-5.766013,B050,219
288,-2.2709556,6.3360634,B058,-1
289,1.5174416,6.3370185,B059,635
290,3.2450325,13.561489,B060,-1
291,12.193705,0.15079787,B068,43
292,1.5380045,6.0464296,B069,657
293,-0.2573274,1.662368,B07,-1
294,8.969599,2.6159444,B080,-1
295,0.061846804,1.9710978,B081,720
296,-1.8993487,7.562514,B082,557
297,-7.319305,-3.139402,B083,408
298,-2.0142598,5.877213,B084,526
299,-1.9116694,0.78673095,B085,677
300,-1.4378419,1.1928016,B088,677
301,3.9439383,5.092295,B09,-1
