,com_1,com_2,icd10,cluster
165,1.2628464,1.2679617,A488,583
166,1.2590327,4.6090126,A490,-1
167,3.9914796,3.5802224,A491,576
168,6.183075,-2.463714,A492,347
169,-2.924223,-1.0942925,A493,-1
170,-2.4545786,-0.18080343,A498,-1
171,0.047512442,6.6024594,A499,-1
172,-1.1017176,16.526712,A502,39
173,-3.1699579,-3.7784138,A509,218
174,-3.426706,-2.4959915,A510,-1
175,5.9528317,2.441262,A511,542
176,10.866476,-1.9639479,A513,137
177,-5.9428625,6.44831,A514,-1
178,-3.7101188,-2.480831,A515,-1
179,6.475661,1.5270021,A519,-1
180,1.3572465,-4.803657,A520,-1
181,4.517182,0.3950025,A521,530
182,8.606688,0.9751856,A522,375
183,-1.2951689,-0.3153361,A523,-1
184,0.9097315,6.299984,A527,586
185,-2.0471885,0.4828661,A528,-1
186,7.8302536,7.49053,A529,339
187,2.540668,5.1514454,A530,627
188,-1.8098774,0.49120766,A539,-1
189,0.60471904,1.0317715,A540,-1
190,-5.8796906,0.22522283,A541,-1
191,5.031626,1.1417395,A542,-1
192,-5.3563066,0.096843675,A543,-1
193,7.4562054,12.533518,A544,123
194,1.7296654,2.025072,A548,590
195,1.4893135,2.042834,A549,590
196,13.238931,11.684374,A560,40
197,4.1192374,9.409742,A57,-1
198,-2.2030008,9.166696,A590,-1
199,1.7826407,11.7400465,A599,107
200,-3.0230668,5.403935,A600,477
201,6.818611,-1.0060234,A601,383
202,9.142937,2.8583546,A609,307
203,13.884735,5.7436213,A630,-1
204,8.069078,10.691244,A663,-1
205,11.165512,12.616612,A681,38
206,3.3740098,7.5066953,A689,451
207,-2.2170527,-4.758744,A690,136
208,-0.8785724,14.998328,A691,-1
209,6.5906954,9.482373,A698,287
210,5.133557,7.8265576,A70,-1
211,12.123155,-1.443791,A740,135
212,5.0146685,14.75469,A748,69
213,8.355362,-2.5205631,A752,256
214,-1.7398635,3.5861466,A753,502
215,4.898675,8.399621,A759,397
216,4.878107,11.33049,A778,195
217,5.5237103,4.4335885,A779,420
218,7.891044,1.2861791,A78,-1
